id,name,address1,address2,city,zip,hours,type
0,Amalgamated Bank,94 East Burnside Avenue,,Bronx,10453,,financial
1,Amalgamated Bank,2067 Bartow Avenue,,Bronx,10475,,financial
2,Amalgamated Bank,3770 East Tremont Avenue,,Bronx,10465,,financial
3,Amalgamated Bank,1212 Fulton Street,,Brooklyn,11216,,financial
4,Amalgamated Bank,4502 5th Avenue,,Brooklyn,11220,,financial
5,Amalgamated Bank,1745 Broadway,,New York,10019,,financial
6,Amalgamated Bank,10 East 14th Street,,New York,10003,,financial
7,Amalgamated Bank,564 West 125th Street,,New York,10027,,financial
8,Amalgamated Bank,619 Main Street,,New York,10044,,financial
9,Amalgamated Bank,275 7th Avenue,,New York,10001,,financial
10,Amalgamated Bank,301 3rd Avenue,,New York,10010,,financial
